PWGTP,AGEP,SOCP,WAGP,PUMA,STATE,
12,63,1191XX,140000,07901,06,
11,66,1721YY,40000,08303,06,
12,45,1191XX,40000,11102,06,
12,54,411011,58000,11108,06,
6,47,411011,50000,11108,06,
4,28,537070,75000,07902,06,
21,57,411011,0,08303,06,
12,31,1721YY,107000,11108,06,
9,38,1191XX,154000,07901,06,
12,52,1191XX,0,11108,06,
8,71,1721XX,0,11107,06,
38,45,1721YY,72000,11102,06,
14,67,1191XX,22000,07901,06,
5,31,411011,0,07901,06,
7,59,411011,48000,07902,06,
32,20,1940YY,7000,07901,06,
32,23,411011,27000,11103,06,
8,55,471011,48000,11107,06,
20,64,411011,3000,11102,06,
43,64,1191XX,118000,11107,06,
7,67,414010,50000,11108,06,
11,51,1191XX,180000,11108,06,
17,55,414010,80000,11108,06,
21,27,514041,32200,11102,06,
17,19,253041,0,07901,06,
46,45,414010,20000,11103,06,
13,56,19204X,150000,11109,06,
21,70,113071,0,07901,06,
19,56,1191XX,125000,07902,06,
17,51,172141,100000,11102,06,
21,65,1191XX,0,11102,06,
11,50,1191XX,169000,11102,06,
5,64,471011,0,08302,06,
24,37,172070,85000,07902,06,
18,56,1191XX,35000,08301,06,
3,20,411011,10000,08302,06,
10,27,1191XX,0,08303,06,
18,65,172070,627000,11102,06,
93,62,1191XX,50000,11108,06,
