PWGTP,AGEP,WAGP,PUMA20,SOCP,
19,45,0,11102,1191XX,
11,60,127000,08301,1191XX,
9,49,0,08301,414010,
54,31,110000,11104,1721YY,
44,23,90000,11104,172141,
11,55,100000,11109,475040,
21,39,110000,08302,1191XX,
16,26,80000,11109,172070,
18,64,579000,08302,1191XX,
15,23,23000,11108,4740XX,
13,42,100000,11103,1191XX,
10,45,70000,08301,1191XX,
21,56,135000,11109,1191XX,
21,62,0,11109,1721YY,
23,57,74000,11103,1191XX,
25,47,56000,11102,113071,
16,69,72000,11102,172070,
11,53,0,07901,471011,
16,23,3800,11108,414010,
16,62,0,11108,172141,
18,75,250000,08303,1191XX,
7,65,113000,11107,414010,
27,29,42000,07902,1191XX,
12,81,5000,11102,172051,
10,57,70000,08301,414010,
12,51,8000,11109,414010,
12,50,80000,11109,1721YY,
29,55,60000,11102,514041,
12,59,687000,11107,1191XX,
22,37,58000,11102,113051,
10,37,40000,11103,1191XX,
9,34,35000,11103,1191XX,
18,62,155000,11102,1191XX,
42,63,100000,11102,1191XX,
36,47,80000,11103,1191XX,
14,42,220000,11108,1191XX,
9,21,30000,11102,472211,
13,26,130000,08303,172051,
14,57,235000,11108,1191XX,
14,53,110000,11108,414010,
46,40,95000,11103,49904X,
4,68,0,11102,113071,
21,65,200000,11102,1191XX,
14,55,50000,08303,1191XX,
18,65,0,07901,172070,
22,38,70000,11107,113071,
13,82,25000,11108,414010,
18,24,10000,08302,1940YY,
42,27,100000,11104,1721YY,
12,68,75000,11102,1721YY,
9,76,40000,11102,113071,
10,42,40000,07902,1191XX,
32,19,6000,07901,1940YY,
22,38,122000,11109,172141,
23,39,110000,11109,172141,
20,65,65000,08303,471011,
11,77,0,11109,119041
