"zipcode","year","occupation","estimate","margin_of_error","county"
"93013",2015,"civilian_employed_population_16_years_and_over_with_earnings",35570,4316,"Santa Barbara"
"93013",2015,"management_occupations",65956,15219,"Santa Barbara"
"93013",2015,"business_and_financial_operations_occupations",66887,10452,"Santa Barbara"
"93013",2015,"computer_and_mathematical_occupations",94951,46330,"Santa Barbara"
"93013",2015,"architecture_and_engineering_occupations",40417,53120,"Santa Barbara"
"93013",2015,"life_physical_and_social_science_occupations",80375,74551,"Santa Barbara"
"93013",2015,"community_and_social_services_occupations",64000,17489,"Santa Barbara"
"93013",2015,"legal_occupations",107647,115029,"Santa Barbara"
"93013",2015,"education_training_and_library_occupations",58929,26380,"Santa Barbara"
"93013",2015,"arts_design_entertainment_sports_and_media_occupations",22278,15087,"Santa Barbara"
"93013",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",61250,22706,"Santa Barbara"
"93013",2015,"health_technologists_and_technicians",77961,86946,"Santa Barbara"
"93013",2015,"healthcare_support_occupations",24286,46250,"Santa Barbara"
"93013",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",39643,29286,"Santa Barbara"
"93013",2015,"law_enforcement_workers_including_supervisors",74286,51756,"Santa Barbara"
"93013",2015,"food_preparation_and_serving_related_occupations",19412,5082,"Santa Barbara"
"93013",2015,"building_and_grounds_cleaning_and_maintenance_occupations",19892,1985,"Santa Barbara"
"93013",2015,"personal_care_and_service_occupations",25187,6837,"Santa Barbara"
"93013",2015,"sales_and_related_occupations",35981,9583,"Santa Barbara"
"93013",2015,"office_and_administrative_support_occupations",36361,4905,"Santa Barbara"
"93013",2015,"farming_fishing_and_forestry_occupations",26511,5444,"Santa Barbara"
"93013",2015,"construction_and_extraction_occupations",25018,5217,"Santa Barbara"
"93013",2015,"installation_maintenance_and_repair_occupations",51078,16348,"Santa Barbara"
"93013",2015,"production_occupations",45703,11809,"Santa Barbara"
"93013",2015,"transportation_occupations",25391,26451,"Santa Barbara"
"93013",2015,"material_moving_occupations",26661,1804,"Santa Barbara"
"93015",2015,"civilian_employed_population_16_years_and_over_with_earnings",26094,3519,"Ventura"
"93015",2015,"management_occupations",47150,11100,"Ventura"
"93015",2015,"business_and_financial_operations_occupations",52733,34626,"Ventura"
"93015",2015,"computer_and_mathematical_occupations",51607,30037,"Ventura"
"93015",2015,"architecture_and_engineering_occupations",103009,9943,"Ventura"
"93015",2015,"life_physical_and_social_science_occupations",NA,NA,"Ventura"
"93015",2015,"community_and_social_services_occupations",31250,80666,"Ventura"
"93015",2015,"legal_occupations",NA,NA,"Ventura"
"93015",2015,"education_training_and_library_occupations",44677,18025,"Ventura"
"93015",2015,"arts_design_entertainment_sports_and_media_occupations",NA,NA,"Ventura"
"93015",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",NA,NA,"Ventura"
"93015",2015,"health_technologists_and_technicians",42284,76368,"Ventura"
"93015",2015,"healthcare_support_occupations",30125,10662,"Ventura"
"93015",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",31458,62349,"Ventura"
"93015",2015,"law_enforcement_workers_including_supervisors",29143,34518,"Ventura"
"93015",2015,"food_preparation_and_serving_related_occupations",12031,10042,"Ventura"
"93015",2015,"building_and_grounds_cleaning_and_maintenance_occupations",15694,6487,"Ventura"
"93015",2015,"personal_care_and_service_occupations",11094,8122,"Ventura"
"93015",2015,"sales_and_related_occupations",19223,12902,"Ventura"
"93015",2015,"office_and_administrative_support_occupations",26884,8275,"Ventura"
"93015",2015,"farming_fishing_and_forestry_occupations",14331,6017,"Ventura"
"93015",2015,"construction_and_extraction_occupations",31198,14310,"Ventura"
"93015",2015,"installation_maintenance_and_repair_occupations",45833,33315,"Ventura"
"93015",2015,"production_occupations",29167,11753,"Ventura"
"93015",2015,"transportation_occupations",23021,7224,"Ventura"
"93015",2015,"material_moving_occupations",21305,8045,"Ventura"
"93021",2015,"civilian_employed_population_16_years_and_over_with_earnings",43110,3306,"Ventura"
"93021",2015,"management_occupations",82585,5433,"Ventura"
"93021",2015,"business_and_financial_operations_occupations",67453,7316,"Ventura"
"93021",2015,"computer_and_mathematical_occupations",121985,14037,"Ventura"
"93021",2015,"architecture_and_engineering_occupations",90887,14076,"Ventura"
"93021",2015,"life_physical_and_social_science_occupations",62036,91167,"Ventura"
"93021",2015,"community_and_social_services_occupations",43152,13451,"Ventura"
"93021",2015,"legal_occupations",104375,10624,"Ventura"
"93021",2015,"education_training_and_library_occupations",53125,10516,"Ventura"
"93021",2015,"arts_design_entertainment_sports_and_media_occupations",41406,23004,"Ventura"
"93021",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",84318,5315,"Ventura"
"93021",2015,"health_technologists_and_technicians",44432,18015,"Ventura"
"93021",2015,"healthcare_support_occupations",24286,3618,"Ventura"
"93021",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",112762,54200,"Ventura"
"93021",2015,"law_enforcement_workers_including_supervisors",102000,40535,"Ventura"
"93021",2015,"food_preparation_and_serving_related_occupations",16588,3383,"Ventura"
"93021",2015,"building_and_grounds_cleaning_and_maintenance_occupations",21989,5508,"Ventura"
"93021",2015,"personal_care_and_service_occupations",20250,6656,"Ventura"
"93021",2015,"sales_and_related_occupations",32284,10241,"Ventura"
"93021",2015,"office_and_administrative_support_occupations",27098,4147,"Ventura"
"93021",2015,"farming_fishing_and_forestry_occupations",22409,14067,"Ventura"
"93021",2015,"construction_and_extraction_occupations",45694,18858,"Ventura"
"93021",2015,"installation_maintenance_and_repair_occupations",56154,10908,"Ventura"
"93021",2015,"production_occupations",41930,4527,"Ventura"
"93021",2015,"transportation_occupations",36510,14604,"Ventura"
"93021",2015,"material_moving_occupations",12069,11395,"Ventura"
"93022",2015,"civilian_employed_population_16_years_and_over_with_earnings",35014,2599,"Ventura"
"93022",2015,"management_occupations",77406,12405,"Ventura"
"93022",2015,"business_and_financial_operations_occupations",57019,49460,"Ventura"
"93022",2015,"computer_and_mathematical_occupations",54792,81234,"Ventura"
"93022",2015,"architecture_and_engineering_occupations",NA,NA,"Ventura"
"93022",2015,"life_physical_and_social_science_occupations",NA,NA,"Ventura"
"93022",2015,"community_and_social_services_occupations",93000,78315,"Ventura"
"93022",2015,"legal_occupations",NA,NA,"Ventura"
"93022",2015,"education_training_and_library_occupations",63750,5215,"Ventura"
"93022",2015,"arts_design_entertainment_sports_and_media_occupations",56071,49289,"Ventura"
"93022",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",72500,54365,"Ventura"
"93022",2015,"health_technologists_and_technicians",34242,53351,"Ventura"
"93022",2015,"healthcare_support_occupations",21818,19230,"Ventura"
"93022",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"Ventura"
"93022",2015,"law_enforcement_workers_including_supervisors",NA,NA,"Ventura"
"93022",2015,"food_preparation_and_serving_related_occupations",15575,4947,"Ventura"
"93022",2015,"building_and_grounds_cleaning_and_maintenance_occupations",11607,11266,"Ventura"
"93022",2015,"personal_care_and_service_occupations",10347,16817,"Ventura"
"93022",2015,"sales_and_related_occupations",17188,9609,"Ventura"
"93022",2015,"office_and_administrative_support_occupations",25625,9723,"Ventura"
"93022",2015,"farming_fishing_and_forestry_occupations",33355,7597,"Ventura"
"93022",2015,"construction_and_extraction_occupations",37159,11150,"Ventura"
"93022",2015,"installation_maintenance_and_repair_occupations",36042,12086,"Ventura"
"93022",2015,"production_occupations",31429,15151,"Ventura"
"93022",2015,"transportation_occupations",61563,19425,"Ventura"
"93022",2015,"material_moving_occupations",NA,NA,"Ventura"
"93023",2015,"civilian_employed_population_16_years_and_over_with_earnings",30231,3631,"Ventura"
"93023",2015,"management_occupations",63370,8855,"Ventura"
"93023",2015,"business_and_financial_operations_occupations",40587,13340,"Ventura"
"93023",2015,"computer_and_mathematical_occupations",74722,65567,"Ventura"
"93023",2015,"architecture_and_engineering_occupations",81071,29321,"Ventura"
"93023",2015,"life_physical_and_social_science_occupations",77583,36957,"Ventura"
"93023",2015,"community_and_social_services_occupations",28250,22428,"Ventura"
"93023",2015,"legal_occupations",72750,27055,"Ventura"
"93023",2015,"education_training_and_library_occupations",51771,13974,"Ventura"
"93023",2015,"arts_design_entertainment_sports_and_media_occupations",36307,37720,"Ventura"
"93023",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",77500,37433,"Ventura"
"93023",2015,"health_technologists_and_technicians",77083,234710,"Ventura"
"93023",2015,"healthcare_support_occupations",30096,28033,"Ventura"
"93023",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",13750,79989,"Ventura"
"93023",2015,"law_enforcement_workers_including_supervisors",121625,4299,"Ventura"
"93023",2015,"food_preparation_and_serving_related_occupations",15614,3051,"Ventura"
"93023",2015,"building_and_grounds_cleaning_and_maintenance_occupations",20717,4756,"Ventura"
"93023",2015,"personal_care_and_service_occupations",15625,8997,"Ventura"
"93023",2015,"sales_and_related_occupations",27375,13674,"Ventura"
