"pwgtp","puma","region","county","socp","occupation","occ_type","year","agep","wagp"
17,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,57,84000
11,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2021,59,35900
15,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,59,0
16,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","514041","Machinists","Green",2021,59,160000
18,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1191XX","Other Managers","Green",2021,71,36000
25,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,63,90000
29,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2021,46,20000
19,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1721YY","Other Engineers, Including Nuclear Engineers","Green",2021,41,98000
15,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","1721YY","Other Engineers, Including Nuclear Engineers","Green",2021,73,56000
12,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers, Including Nuclear Engineers","Green",2021,45,1e+05
18,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,61,0
11,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,23,80000
10,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1191XX","Other Managers","Green",2021,53,60000
