"pwgtp","puma","region","county","socp","occupation","occ_type","year","agep","wagp"
19,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,41,1e+05
5,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2018,61,0
13,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172070","Electrical And Electronics Engineers","Green",2018,58,170000
14,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,63,0
9,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,51,65000
21,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","119041","Architectural And Engineering Managers","Green",2018,67,212000
8,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,61,0
18,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,37,35000
11,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,41,50000
10,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172141","Mechanical Engineers","Fossil Fuel",2018,72,0
13,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","475040","Underground Mining Machine Operators","Fossil Fuel",2018,49,50000
34,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,51,41000
15,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","172051","Civil Engineers","Green",2018,58,130000
15,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,60,2e+05
